EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
7 734 123 1 1
5 643 119 1 1
6 654 119 1 1
5 648 119 1 1
5 672 119 1 1
5 652 119 1 1
6 667 118 1 1
5 645 119 0 1
6 659 120 0 1
5 676 120 1 1
6 698 145 1 1
9 720 122 1 1
5 685 119 1 1
6 687 118 1 1
5 1127 119 2 3
6 676 118 1 1
6 655 118 1 1
6 638 118 1 1
6 725 205 1 1
7 723 121 1 1
8 655 121 0 1
6 649 118 1 1
5 665 118 1 1
6 652 118 1 1
6 653 118 1 1
5 644 117 1 1
6 659 118 1 1
5 642 121 1 1
6 684 119 1 1
5 645 118 0 1
5 637 123 1 1
5 651 117 0 3
5 656 118 1 1
6 649 121 1 1
5 651 117 0 1
5 656 118 1 1
6 662 119 0 1
5 652 118 1 1
5 667 118 0 1
5 664 119 1 1
5 645 119 1 1
5 657 118 1 1
5 645 119 1 1
6 647 118 1 1
6 669 118 1 1
5 652 118 1 1
5 655 118 1 1
6 662 124 1 1
5 688 119 1 1
5 693 119 1 1
6 649 120 1 1
6 667 122 1 1
6 651 118 1 1
5 639 122 0 1
5 656 118 0 1
5 660 119 1 1
6 660 119 1 1
5 662 119 1 1
4 678 119 1 1
5 662 120 0 1
5 660 119 1 1
5 714 119 1 1
6 680 119 1 1
5 688 118 1 1
6 1561 125 2 5
6 696 119 1 1
5 648 119 0 1
6 678 118 1 1
5 648 119 1 1
5 669 119 1 1
10 640 119 0 1
5 668 123 1 1
5 655 120 1 1
5 645 119 1 1
5 655 119 1 1
6 671 120 0 1
5 660 119 1 1
5 661 119 0 1
5 656 120 1 1
5 728 119 1 1
6 652 120 1 1
5 659 119 0 1
6 654 120 1 1
5 660 119 0 1
5 654 119 1 1
6 643 118 0 1
484 682 120 1 1
5 653 120 1 1
5 645 120 1 1
4 651 119 1 1
5 647 123 1 1
5 720 120 1 1
5 667 120 1 1
5 663 119 1 1
5 656 123 1 1
5 682 120 1 1
5 686 126 1 1
5 668 121 0 1
5 666 123 1 1
5 654 120 0 1
5 656 148 1 1
5 657 125 1 1
5 676 119 0 1
5 673 120 1 1
5 655 121 0 1
5 663 119 1 1
5 717 120 0 1
6 694 120 1 1
5 656 121 1 1
5 644 120 1 1
5 660 120 0 1
5 656 120 1 1
5 669 123 1 1
8 643 121 0 1
5 667 120 1 1
40 573 119 0 1
4 538 141 0 1
3 513 119 0 0
5 610 120 1 1
6 631 119 1 1
5 630 120 1 1
6 794 121 1 3
5 670 121 1 1
5 643 125 1 1
5 639 123 0 1
5 653 154 1 1
6 649 124 0 1
6 677 124 1 1
5 635 124 1 1
5 630 125 1 1
5 650 121 0 1
6 655 123 1 1
5 648 122 1 1
5 898 123 1 7
5 661 121 1 1
5 642 122 1 1
5 647 138 1 1
5 672 122 1 1
6 667 122 1 1
7 632 122 1 1
5 641 121 1 1
5 643 120 1 1
5 647 122 0 1
5 637 121 1 1
6 637 121 1 1
5 635 122 1 1
5 649 121 1 1
5 674 123 1 1
5 632 122 0 1
6 650 123 1 1
5 643 123 1 1
5 634 121 1 1
5 634 121 1 1
5 647 125 1 1
5 669 122 1 1
5 652 122 1 1
5 656 120 0 1
5 1132 125 2 3
5 680 125 1 1
5 625 121 1 1
5 648 125 1 1
5 641 121 1 1
5 631 122 1 1
8 633 132 1 1
5 655 123 1 1
6 641 124 0 1
5 636 139 1 1
5 636 122 0 1
5 654 122 0 1
5 647 123 0 1
5 652 122 0 1
5 638 120 1 1
5 639 123 1 1
5 649 122 1 1
5 636 122 1 1
5 633 122 0 1
5 631 122 1 1
5 637 122 0 1
5 636 122 1 1
5 686 127 1 1
5 651 123 1 1
5 652 122 1 1
5 636 122 1 1
5 637 121 1 1
5 641 123 1 1
6 657 124 1 1
5 636 125 1 1
5 658 126 0 1
5 642 123 1 1
5 649 124 1 1
6 652 123 1 1
5 645 124 1 1
5 654 124 1 1
5 650 122 1 1
5 639 122 1 1
6 661 127 1 1
5 645 127 1 1
5 683 124 0 1
5 640 123 0 1
5 641 123 1 1
5 645 124 1 1
5 680 124 1 1
5 644 123 1 1
6 668 123 1 1
5 665 122 1 1
5 665 124 1 1
5 645 127 1 1
5 1599 131 2 6
6 681 124 1 1
5 637 126 0 1
5 638 123 0 1
5 643 125 0 1
5 660 123 1 1
10 649 124 0 1
6 648 126 1 1
5 665 123 1 1
5 676 124 1 1
5 657 124 1 1
6 637 123 0 1
5 634 124 1 1
6 645 122 0 1
5 669 124 1 1
5 658 123 1 1
5 661 122 1 1
5 647 126 1 1
6 675 122 1 1
5 696 124 1 1
5 634 123 1 1
505 672 125 1 1
5 643 124 0 1
5 649 124 1 1
5 645 124 1 1
5 656 123 1 1
4 683 126 0 1
5 665 126 1 1
5 657 149 1 1
5 666 124 1 1
6 777 126 1 3
5 649 125 0 1
5 641 126 0 1
5 646 125 1 1
5 654 124 0 1
5 654 125 1 1
5 654 129 0 1
5 659 126 0 1
5 695 125 1 1
5 650 125 1 1
5 660 126 1 1
5 689 128 1 1
5 650 127 1 1
5 639 129 0 1
5 652 127 1 1
5 663 126 1 1
5 647 129 1 1
5 651 129 0 1
5 684 131 1 1
42 543 129 0 1
5 508 126 0 0
4 492 124 0 0
4 533 124 0 0
6 653 139 1 1
6 965 137 1 2
5 627 129 1 1
6 628 129 1 1
5 654 127 1 1
6 879 180 1 1
6 803 131 1 1
5 829 132 1 2
6 812 133 1 1
6 837 133 1 2
5 632 131 1 1
7 910 143 1 2
6 836 132 1 2
5 1083 140 1 3
